nx;np;num_p;time
100;24;18;3.32901e-06
100;24;4;3.55393e-06
100;24;14;3.77395e-06
100;24;21;3.25497e-06
100;24;22;3.21702e-06
100;24;1;3.31784e-06
100;24;11;3.36417e-06
100;24;5;3.47989e-06
100;24;23;3.1949e-06
100;24;16;3.25684e-06
100;24;0;3.0119e-06
100;24;6;3.34485e-06
100;24;19;3.19909e-06
100;24;10;3.52901e-06
100;24;13;3.36091e-06
100;24;20;3.40701e-06
100;24;15;3.36207e-06
100;24;9;3.36207e-06
100;24;2;3.275e-06
100;24;7;3.29618e-06
150;24;19;7.20704e-06
150;24;20;7.05896e-06
150;24;0;6.60308e-06
150;24;15;7.72788e-06
150;24;10;8.53208e-06
150;24;1;9.0031e-06
150;24;6;8.662e-06
150;24;8;8.61892e-06
150;24;12;8.42707e-06
150;24;23;6.81099e-06
150;24;17;8.21589e-06
150;24;22;7.55e-06
150;24;7;8.24081e-06
150;24;16;7.58213e-06
150;24;18;7.03614e-06
150;24;4;9.31113e-06
150;24;11;7.37305e-06
150;24;13;8.10088e-06
150;24;2;7.61799e-06
150;24;5;7.78493e-06
150;24;9;7.65291e-06
150;24;14;7.57701e-06
150;24;3;7.93207e-06
150;24;21;7.93603e-06
200;24;13;1.2907e-05
200;24;6;1.5609e-05
200;24;22;1.2636e-05
200;24;18;1.28439e-05
200;24;10;1.3676e-05
200;24;20;1.31589e-05
200;24;4;1.46551e-05
200;24;3;1.34979e-05
200;24;1;1.5937e-05
200;24;11;1.3419e-05
200;24;17;1.4212e-05
200;24;21;1.2219e-05
200;24;16;1.48511e-05
200;24;8;1.46041e-05
200;24;0;1.1448e-05
200;24;15;1.37989e-05
200;24;23;1.3347e-05
200;24;7;1.47161e-05
200;24;14;1.4114e-05
200;24;5;1.55941e-05
200;24;12;1.4642e-05
200;24;19;1.34089e-05
200;24;9;1.5195e-05
200;24;2;1.3436e-05
