nx;np;time
50;1;0.00697299
100;1;0.101351
150;1;0.498618
200;1;1.59829
50;2;0.00664094
100;2;0.104413
150;2;0.518884
200;2;1.66246
50;4;0.00683021
100;4;0.103934
150;4;0.517871
200;4;1.65397
50;8;0.00717823
100;8;0.108805
150;8;0.550796
200;8;1.75416
50;12;0.00726291
100;12;0.113009
150;12;0.566971
200;12;1.80412
50;16;0.00713586
100;16;0.219823
150;16;0.711359
200;16;3.57881
50;24;0.00714504
100;24;0.123611
150;24;1.15846
200;24;1.81398
