nx;np;num_p;time
150;24;11;0.0466203
150;24;14;0.0427717
150;24;3;0.0518692
150;24;8;0.063498
150;24;18;0.0453421
150;24;4;0.0259193
150;24;21;0.0420675
200;24;0;0.0751627
200;24;2;0.164457
200;24;5;0.167268
200;24;13;0.156006
200;24;3;0.161624
200;24;11;0.163588
200;24;12;0.156234
200;24;1;0.157487
200;24;15;0.151519
200;24;4;0.156177
200;24;8;0.21704
200;24;14;0.156006
200;24;16;0.152634
200;24;17;0.162538
200;24;22;0.160726
200;24;19;0.15623
200;24;23;0.161691
200;24;20;0.149812
200;24;18;0.160689
200;24;9;0.233406
200;24;21;0.232021
200;24;10;0.163279
200;24;6;0.156513
200;24;7;0.151605
