Kmeans, Time(ms),Nb_Proc
1,260,24
2,301,24
4,495,24
8,431,24
12,1050,24
16,573,24
20,1053,24
24,1084,24
28,687,24
32,956,24
36,982,24
40,853,24
44,1243,24
48,732,24
52,1231,24
56,1509,24
60,1198,24
