NX(rows),Distribution_Time(ms),Calculation_Time(ms),Total_Time(ms),Nb_Proc
10,8,0,8,8
20,1,0,1,8
40,11,0,12,8
60,44,2,46,8
80,133,6,140,8
100,323,15,339,8
120,668,33,702,8
140,1230,62,1293,8
160,2098,102,2200,8
180,3363,169,3533,8
200,5116,257,5374,8
