NX(rows),Distribution_Time(ms),Calculation_Time(ms),Total_Time(ms),Nb_Proc
10,19,0,19,12
20,1,0,1,12
40,12,0,12,12
60,46,1,48,12
80,140,4,145,12
100,339,11,351,12
120,697,23,720,12
140,1293,61,1354,12
160,2194,91,2286,12
180,3537,119,3656,12
200,5386,182,5569,12
