Kmeans, Time(ms),Nb_Proc
1,859,16
2,658,16
4,861,16
8,1099,16
12,1545,16
16,3991,16
20,3289,16
24,3814,16
28,4041,16
32,6459,16
36,10995,16
40,11984,16
44,9244,16
48,11746,16
52,9359,16
56,8832,16
60,14875,16
