Kmeans, Time(ms),Nb_Proc
1,5,8
2,1,8
4,2,8
8,2,8
12,3,8
16,3,8
20,4,8
24,8,8
28,5,8
32,7,8
36,7,8
40,10,8
44,7,8
48,9,8
52,9,8
56,8,8
60,12,8
