NX(rows),Distribution_Time(ms),Calculation_Time(ms),Total_Time(ms),Nb_Proc
10,0,0,0,4
20,1,0,1,4
40,8,0,9,4
60,36,4,41,4
80,113,12,126,4
100,276,30,307,4
120,568,58,627,4
140,1058,117,1176,4
160,1823,192,2015,4
180,2889,327,3217,4
200,4426,498,4924,4
