1;50;1.6911e-05;4.9458e-05;0.341926
1;100;6.333e-05;0.000201022;0.31504
1;150;0.000141181;0.000485953;0.290524
1;200;0.000251704;0.00134097;0.187702
2;50;1.6816e-05;0.000176626;0.0952068
2;100;6.3278e-05;0.000458401;0.138041
2;150;0.000145926;0.000932173;0.156544
2;200;0.000261277;0.00223715;0.11679
4;50;1.7429e-05;0.000287625;0.0605963
4;100;6.9711e-05;0.00069108;0.100873
4;150;0.000156169;0.00121905;0.128107
4;200;0.000260765;0.00394033;0.0661785
8;50;1.6308e-05;0.184537;8.83727e-05
8;100;6.9727e-05;0.00230905;0.0301973
8;150;0.000155571;0.00735365;0.0211556
8;200;0.00026879;0.0131496;0.0204409
12;50;1.7883e-05;0.0117237;0.00152538
12;100;6.9816e-05;0.0298537;0.0023386
12;150;0.000155527;0.00940052;0.0165445
12;200;0.000281422;0.0178542;0.0157623
16;50;1.6776e-05;0.275892;6.08064e-05
16;100;6.984e-05;0.041514;0.00168232
16;150;0.000150419;0.0533955;0.00281707
16;200;0.00026866;0.0463594;0.00579516
24;50;1.6834e-05;0.0806115;0.000208829
24;100;6.9801e-05;0.0815051;0.0008564
24;150;0.000150892;0.102072;0.0014783
24;200;0.000289621;0.0890077;0.00325389
