Kmeans, Time(ms),Nb_Proc
1,2,2
2,2,2
4,1,2
8,2,2
12,2,2
16,1,2
20,4,2
24,2,2
28,2,2
32,7,2
36,3,2
40,5,2
44,4,2
48,5,2
52,6,2
56,4,2
60,4,2
