NX(rows),Distribution_Time(ms),Calculation_Time(ms),Total_Time(ms),Nb_Proc
10,0,0,0,1
20,0,0,0,1
40,0,3,3,1
60,0,15,15,1
80,0,49,49,1
100,0,116,116,1
120,0,243,243,1
140,0,464,464,1
160,0,755,755,1
180,0,1250,1250,1
200,0,1880,1880,1
