Kmeans, Time(ms),Nb_Proc
1,2,4
2,1,4
4,3,4
8,4,4
12,6,4
16,5,4
20,8,4
24,14,4
28,9,4
32,14,4
36,13,4
40,20,4
44,13,4
48,17,4
52,16,4
56,10,4
60,13,4
