NX(rows),Distribution_Time(ms),Calculation_Time(ms),Total_Time(ms),Nb_Proc
10,17,0,17,16
20,1,0,1,16
40,14,0,15,16
60,51,2,53,16
80,147,5,153,16
100,352,14,366,16
120,712,28,741,16
140,1316,53,1370,16
160,2243,92,2335,16
180,3580,145,3725,16
200,5532,233,5765,16
