Kmeans, Time(ms),Nb_Proc
1,466,1
2,1056,1
4,3311,1
8,4784,1
12,8222,1
16,26548,1
20,21726,1
24,25095,1
28,26485,1
32,44784,1
36,77288,1
40,88371,1
44,68363,1
48,86173,1
52,65806,1
56,63650,1
60,111151,1
