Kmeans, Time(ms),Nb_Proc
1,484,12
2,522,12
4,989,12
8,935,12
12,1503,12
16,3713,12
20,4029,12
24,3218,12
28,3589,12
32,5604,12
36,10201,12
40,11291,12
44,10130,12
48,11532,12
52,8519,12
56,6441,12
60,12898,12
