NX(rows),Distribution_Time(ms),Calculation_Time(ms),Total_Time(ms),Nb_Proc
10,0,895,896,24
20,6,0,6,24
40,18,0,18,24
60,65,1,66,24
80,158,7,166,24
100,425,16,442,24
120,849,38,887,24
140,1453,58,1511,24
160,2678,117,2795,24
180,3815,176,3991,24
200,5818,283,6102,24
