nx;np;num_p;time
100;24;13;3.5e-06
100;24;14;4.299e-06
100;24;15;3.415e-06
100;24;16;3.395e-06
100;24;17;4.107e-06
100;24;18;4.219e-06
100;24;19;3.409e-06
100;24;20;4.312e-06
100;24;21;4.129e-06
100;24;22;3.97e-06
100;24;23;3.949e-06
100;24;0;3.674e-06
150;24;1;7.683e-06
150;24;2;7.807e-06
150;24;3;8.264e-06
150;24;4;7.806e-06
150;24;5;8.362e-06
150;24;6;7.754e-06
150;24;7;7.897e-06
150;24;8;8.6e-06
150;24;9;8.651e-06
150;24;10;7.018e-06
150;24;11;7.884e-06
150;24;12;7.85e-06
150;24;13;9.416e-06
150;24;14;8.731e-06
150;24;20;7.78e-06
150;24;21;7.717e-06
150;24;22;8.125e-06
150;24;15;9.053e-06
150;24;16;7.948e-06
150;24;17;8.491e-06
150;24;18;9.672e-06
150;24;19;9.051e-06
150;24;23;8.795e-06
150;24;0;7.374e-06
200;24;1;1.3212e-05
200;24;2;1.4942e-05
200;24;3;1.2986e-05
200;24;4;1.3182e-05
200;24;5;1.5969e-05
200;24;6;1.5134e-05
200;24;7;1.4133e-05
200;24;8;1.3252e-05
200;24;9;1.2974e-05
200;24;10;1.3982e-05
200;24;11;1.3317e-05
200;24;12;1.5079e-05
200;24;13;1.4082e-05
200;24;14;1.4628e-05
200;24;15;1.3361e-05
200;24;16;1.3633e-05
200;24;17;1.3271e-05
200;24;18;1.5034e-05
200;24;19;1.4539e-05
200;24;20;1.3261e-05
200;24;21;1.3208e-05
200;24;22;1.4517e-05
200;24;0;1.3305e-05
200;24;23;1.3851e-05
