10000_12_0.734136
10000_16_1.27196
10000_1_5.37307
10000_24_0.614323
10000_2_3.1059
10000_4_1.02436
10000_8_1.0023
1000_12_0.882426
1000_16_0.903469
1000_1_4.71471
1000_24_0.779055
1000_2_2.77154
1000_4_1.65157
1000_8_0.9499
100_12_0.510027
100_16_0.71231
100_1_4.72428
100_24_0.762495
100_2_3.40775
100_4_1.65284
100_8_0.740772
10_12_0.786432
10_16_0.684979
10_1_5.27927
10_24_0.655811
10_2_3.47089
10_4_1.49288
10_8_1.02269
1_12_0.507097
1_16_0.591454
1_1_5.64271
1_24_0.500882
1_2_2.65961
1_4_2.06874
1_8_0.874846
2000_12_1.17808
2000_16_0.800901
2000_1_5.43143
2000_24_0.626164
2000_2_2.91893
2000_4_2.16648
2000_8_1.41092
250_12_1.23866
250_16_0.476057
250_1_4.74979
250_24_0.629008
250_2_5.36281
250_4_1.74354
250_8_0.945777
3000_12_0.709751
3000_16_0.578891
3000_1_5.79019
3000_24_1.29567
3000_2_5.42068
3000_4_1.14576
3000_8_0.877538
5000_12_0.735515
5000_16_0.642707
5000_1_8.49322
5000_24_0.75763
5000_2_2.98731
5000_4_0.984836
5000_8_1.24314
500_12_0.567028
500_16_0.571051
500_1_5.75112
500_24_1.11724
500_2_2.75568
500_4_3.02365
500_8_0.888491
8000_12_0.731061
8000_16_0.692914
8000_1_5.6408
8000_24_0.483288
8000_2_2.31284
8000_4_2.04548
8000_8_0.965336
