10000_12_0.887758
10000_16_0.487382
10000_1_5.74164
10000_24_0.480752
10000_2_4.19892
10000_4_1.77466
10000_8_1.43026
1000_12_0.958175
1000_16_0.492379
1000_1_6.31104
1000_24_0.574223
1000_2_3.50565
1000_4_1.84225
1000_8_1.09439
100_12_1.45724
100_16_0.799733
100_1_6.77229
100_24_0.811304
100_2_3.14168
100_4_1.74613
100_8_1.33878
10_12_1.16825
10_16_0.923616
10_1_5.4801
10_24_0.813137
10_2_3.39104
10_4_1.82456
10_8_0.961604
1_12_1.22587
1_16_1.26065
1_1_5.9206
1_24_0.761667
1_2_2.32578
1_4_1.87842
1_8_0.985624
2000_12_0.654668
2000_16_0.532862
2000_1_5.29215
2000_24_0.769453
2000_2_4.68096
2000_4_1.44885
2000_8_0.867906
250_12_1.27705
250_16_0.992094
250_1_6.04456
250_24_0.909301
250_2_3.19532
250_4_1.69872
250_8_0.761469
3000_12_0.70147
3000_16_0.50144
3000_1_5.35175
3000_24_0.82074
3000_2_2.36097
3000_4_3.37944
3000_8_1.07828
5000_12_0.855945
5000_16_0.441033
5000_1_5.08068
5000_24_1.53038
5000_2_2.6235
5000_4_1.77604
5000_8_1.40088
500_12_0.916105
500_16_0.808291
500_1_6.62672
500_24_1.28967
500_2_2.63665
500_4_1.28066
500_8_0.810262
8000_12_0.693969
8000_16_0.69364
8000_1_5.85816
8000_24_1.64217
8000_2_3.04227
8000_4_2.77695
8000_8_0.964349
