nx;np;time
50;1;0.00372758
100;1;0.0638514
150;1;0.308446
200;1;0.989135
50;2;0.00364965
100;2;0.0650825
150;2;0.318984
200;2;1.01003
50;4;0.00369936
100;4;0.0644724
150;4;0.31564
200;4;1.00874
50;8;0.00394313
100;8;0.0696019
150;8;0.337258
200;8;1.08181
50;12;0.00397567
100;12;0.0688483
150;12;0.338043
200;12;1.07921
50;16;0.0238713
100;16;0.128756
150;16;0.314667
200;16;1.27794
50;24;0.0038694
100;24;0.167023
150;24;0.676424
200;24;2.02287
