10000_12_2.63603
10000_16_2.31246
10000_1_12.7269
10000_24_2.261
10000_2_6.56933
10000_4_4.84483
10000_8_2.60861
1000_12_0.069574
1000_16_0.055466
1000_1_0.115284
1000_24_0.0240337
1000_2_0.0784746
1000_4_0.0692194
1000_8_0.0294733
100_12_0.000384378
100_16_0.0482483
100_1_0.00112381
100_24_0.0122452
100_2_0.0011164
100_4_0.000703236
100_8_0.000756098
10_12_0.0136213
10_16_0.0535119
10_1_4.4084e-05
10_24_0.00333697
10_2_0.000122627
10_4_5.9901e-05
10_8_0.000104017
1_12_7.4344e-05
1_16_0.0503497
1_1_6.593e-06
1_24_0.0126622
1_2_3.9374e-05
1_4_3.9683e-05
1_8_7.2846e-05
2000_12_0.12112
2000_16_0.0919963
2000_1_0.417373
2000_24_0.0705391
2000_2_0.222641
2000_4_0.174209
2000_8_0.111448
250_12_0.00227391
250_16_0.0604422
250_1_0.00629776
250_24_0.00198527
250_2_0.00370691
250_4_0.00266336
250_8_0.00208116
3000_12_0.172306
3000_16_0.183707
3000_1_1.17837
3000_24_0.158713
3000_2_0.549545
3000_4_0.27155
3000_8_0.216436
5000_12_0.46955
5000_16_0.486235
5000_1_3.21422
5000_24_0.404854
5000_2_1.64958
5000_4_0.935358
5000_8_0.653704
500_12_0.00459746
500_16_0.0461228
500_1_0.0273591
500_24_0.00723992
500_2_0.0175701
500_4_0.0127683
500_8_0.00785643
8000_12_1.24174
8000_16_1.27094
8000_1_7.74265
8000_24_1.05527
8000_2_3.86982
8000_4_2.00726
8000_8_1.50757
