nx;np;type;time
1000;2;OMP;0.00130547
1000;2;OMPTask;0.00149397
1000;4;OMP;0.00106572
1000;4;OMPTask;0.00102154
1000;8;OMP;0.00065691
1000;8;OMPTask;0.00179198
100;12;OMP;0.00837856
100;12;OMPTask;0.000326329
100;16;OMP;0.0416251
100;16;OMPTask;0.00453922
100;1;OMP;6.4419e-05
100;1;OMPTask;8.5016e-05
100;24;OMP;0.00039108
100;24;OMPTask;0.000387338
100;2;OMP;0.000765776
100;2;OMPTask;0.000105459
100;4;OMP;6.2784e-05
100;4;OMPTask;0.000129979
100;8;OMP;0.000111631
100;8;OMPTask;0.00023719
10;12;OMP;0.00906533
10;12;OMPTask;3.797e-05
10;16;OMP;0.045013
10;16;OMPTask;0.000133662
10;1;OMP;1.186e-05
10;1;OMPTask;1.457e-05
10;24;OMP;0.00518511
10;24;OMPTask;0.000116295
10;2;OMP;5.8265e-05
10;2;OMPTask;2.341e-05
10;4;OMP;5.4123e-05
10;4;OMPTask;1.5023e-05
10;8;OMP;0.000143213
10;8;OMPTask;2.3092e-05
1;12;OMP;0.000102634
1;12;OMPTask;4.2883e-05
1;16;OMP;0.0364243
1;16;OMPTask;0.0479951
1;1;OMP;6.099e-06
1;1;OMPTask;5.001e-06
1;24;OMP;0.00812356
1;24;OMPTask;0.000240795
1;2;OMP;8.918e-05
1;2;OMPTask;2.876e-05
1;4;OMP;0.000104233
1;4;OMPTask;2.5998e-05
1;8;OMP;0.000103048
1;8;OMPTask;2.024e-05
2000;12;OMP;0.0016543
2000;12;OMPTask;0.00520732
2000;16;OMP;0.00181318
2000;16;OMPTask;0.00825037
2000;1;OMP;0.00858891
2000;1;OMPTask;0.00799059
2000;24;OMP;0.00180975
2000;24;OMPTask;0.00737675
2000;2;OMP;0.00461346
2000;2;OMPTask;0.00442837
2000;4;OMP;0.00265813
2000;4;OMPTask;0.00254665
2000;8;OMP;0.00209874
2000;8;OMPTask;0.00322091
250;12;OMP;0.000203273
250;12;OMPTask;0.000811362
250;16;OMP;0.00764585
250;16;OMPTask;0.00103948
250;1;OMP;0.000259773
250;1;OMPTask;0.000299682
250;24;OMP;0.000436734
250;24;OMPTask;0.00102621
250;2;OMP;0.000205208
250;2;OMPTask;0.000256577
250;4;OMP;0.00017181
250;4;OMPTask;0.000296474
250;8;OMP;0.000175453
250;8;OMPTask;0.000529934
3000;12;OMP;0.00380078
3000;12;OMPTask;0.00471011
3000;16;OMP;0.0035911
3000;16;OMPTask;0.00960441
3000;1;OMP;0.0187774
3000;1;OMPTask;0.0179042
3000;24;OMP;0.0032275
3000;24;OMPTask;0.00967214
3000;2;OMP;0.0145079
3000;2;OMPTask;0.0143894
3000;4;OMP;0.0083745
3000;4;OMPTask;0.00598301
3000;8;OMP;0.00429618
3000;8;OMPTask;0.00344851
5000;12;OMP;0.00924109
5000;12;OMPTask;0.00835117
5000;16;OMP;0.00959229
5000;16;OMPTask;0.00751499
5000;1;OMP;0.0526953
5000;1;OMPTask;0.0536552
5000;24;OMP;0.00992831
5000;24;OMPTask;0.0108975
5000;2;OMP;0.0298184
5000;2;OMPTask;0.0277317
5000;4;OMP;0.0138608
5000;4;OMPTask;0.0127029
5000;8;OMP;0.0121576
5000;8;OMPTask;0.00816236
500;12;OMP;0.000283753
500;12;OMPTask;0.001512
500;16;OMP;0.00391306
500;16;OMPTask;0.00198413
500;1;OMP;0.000568581
500;1;OMPTask;0.000601415
500;24;OMP;0.000495558
500;24;OMPTask;0.00210763
500;2;OMP;0.000526748
500;2;OMPTask;0.000536021
500;4;OMP;0.000228412
500;4;OMPTask;0.000566223
500;8;OMP;0.000258839
500;8;OMPTask;0.00110116
8000;12;OMP;0.0301439
8000;12;OMPTask;0.0188331
8000;16;OMP;0.0179671
8000;16;OMPTask;0.017094
8000;1;OMP;0.123856
8000;1;OMPTask;0.130279
8000;24;OMP;0.0202594
8000;24;OMPTask;0.0177304
8000;2;OMP;0.0706363
8000;2;OMPTask;0.0705016
8000;4;OMP;0.0424464
8000;4;OMPTask;0.0368491
8000;8;OMP;0.0263567
8000;8;OMPTask;0.0206622
10000;0;Seq;0.352559
1000;0;Seq;0.00274243
100;0;Seq;7.703e-05
10;0;Seq;1.4525e-05
1;0;Seq;1.4859e-05
2000;0;Seq;0.013458
250;0;Seq;0.000326481
3000;0;Seq;0.0319651
5000;0;Seq;0.0825981
500;0;Seq;0.000919491
8000;0;Seq;0.199465
