mode,nRows,nCols,nChannels,nCentroids,nIterations,time,timePerCycle,
tbb,1080,1000,3,17,16,0.144803,0.00905019,
tbb,1285,1920,3,17,6,0.0993578,0.0165596,
tbb,1440,1920,3,17,26,0.517808,0.0199157,
tbb,1638,2048,3,17,8,0.186853,0.0233566,
tbb,2250,4256,3,17,9,0.58162,0.0646244,
