mode,nRows,nCols,nChannels,nCentroids,nIterations,time,timePerCycle,
omp,1080,1000,3,7,11,0.0991311,0.00901192,
omp,1285,1920,3,7,10,0.140132,0.0140132,
omp,1440,1920,3,7,14,0.15705,0.0112178,
omp,1638,2048,3,7,12,0.140594,0.0117162,
omp,2250,4256,3,7,15,0.463995,0.030933,
