mode,nRows,nCols,nChannels,nCentroids,nIterations,time,timePerCycle,
seq,1080,1000,3,17,15,1.28724,0.0858161,
seq,1285,1920,3,17,10,1.92324,0.192324,
seq,1440,1920,3,17,12,2.68251,0.223543,
seq,1638,2048,3,17,30,9.10194,0.303398,
seq,2250,4256,3,17,15,12.0584,0.803896,
