mode,nRows,nCols,nChannels,nCentroids,nIterations,time,timePerCycle,
seq,1080,1000,3,4,9,0.281349,0.031261,
seq,1285,1920,3,4,13,0.761928,0.0586099,
seq,1440,1920,3,4,33,2.18287,0.0661475,
seq,1638,2048,3,4,18,1.51049,0.0839159,
seq,2250,4256,3,4,20,4.56623,0.228312,
