mode,nRows,nCols,nChannels,nCentroids,nIterations,time,timePerCycle,
omp,1080,1000,3,4,24,0.177513,0.00739638,
omp,1285,1920,3,4,9,0.0945311,0.0105035,
omp,1440,1920,3,4,25,0.300504,0.0120202,
omp,1638,2048,3,4,5,0.064841,0.0129682,
omp,1333,2000,3,4,17,0.193433,0.0113784,
