1,512,0.493346
1,1024,1.85334
1,2048,7.25639
1,4096,28.4571
1,512,0.482005
1,1024,1.88384
1,2048,7.32331
1,256,0.127986
1,512,0.477645
1,1024,1.84558
1,2048,7.25573
1,4096,28.5259
1,8192,110.428
2,256,0.0846769
2,512,0.275569
2,1024,0.994589
2,2048,3.74004
2,4096,14.5947
2,8192,56.0286
4,256,0.0492215
4,512,0.148944
4,1024,0.517183
4,2048,1.95166
4,4096,7.57301
4,8192,28.9426
8,256,0.0360368
8,512,0.0885516
8,1024,0.288744
8,2048,1.05965
8,4096,4.06955
8,8192,15.5538
16,256,0.0304935
16,512,0.0563838
16,1024,0.160865
16,2048,0.562279
16,4096,2.12657
16,8192,8.018
24,256,0.0294629
24,512,0.0539993
24,1024,0.136032
24,2048,0.466139
24,4096,1.75153
24,8192,6.46988
