1,512,0.488206
1,1024,1.85163
1,2048,7.26871
1,8192,111.117
1,4096,28.5652
1,8192,111.045
1,512,0.477441
1,1024,1.85932
1,2048,7.28689
1,256,0.129152
1,512,0.477431
1,1024,1.86051
1,2048,7.29308
1,256,0.128801
1,512,0.481585
1,1024,1.85915
1,2048,7.3135
1,4096,28.6076
1,8192,110.998
2,256,0.0893148
2,512,0.291078
2,1024,1.00165
2,2048,3.76987
2,4096,14.5369
2,8192,56.5118
4,256,0.0513794
4,512,0.158359
4,1024,0.527745
4,2048,1.96564
4,4096,7.61134
4,8192,29.1685
8,256,0.03303
8,512,0.0927312
8,1024,0.288392
8,2048,1.06227
8,4096,4.13396
8,8192,15.6921
16,256,0.0261949
16,512,0.0572144
16,1024,0.156455
16,2048,0.559953
16,4096,2.14067
16,8192,8.08352
24,256,0.0412732
24,512,0.0898003
24,1024,0.24775
24,2048,0.754337
24,4096,2.64863
24,8192,8.68894
